stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,wheelchair_boarding
PB1954,,PB1954-Parada 6 / (M) Hospitales,-33.417462,-70.656478,,0
PB1956,,PB1956-Av. Independencia / Esq. Baldomero Lillo,-33.415279,-70.657342,,0
PB1959,,PB1959-Av. Independencia / Esq. General Saavedra,-33.410152,-70.659713,,0
PB1963,,PB1963-Parada 5 / (M) Pza. Chacabuco,-33.405876,-70.661628,,0
PB1966,,PB1966-Parada 2 / Einstein - Independencia,-33.403509,-70.663697,,0
PB1968,,PB1968-Av. Independencia / Esq. Huidobro,-33.400578,-70.666472,,0
PB279,,PB279-Parada 8 / (M) Conchalí,-33.397332,-70.670176,,0
PB280,,PB280-Av. Independencia / Esq. Aviador Acevedo,-33.395956,-70.671585,,0
PB281,,PB281-Av. Independencia / Esq. Teniente Ponce,-33.393509,-70.673335,,0
PB227,,PB227-Av. Independencia / Esq. Elcira Espinoza,-33.390766,-70.675089,,0
PB283,,PB283-Av. Independencia / Esq. Doctor Asenjo,-33.388281,-70.677126,,0
PB1708,,PB1708-Parada 2 / (M) Vivaceta,-33.385266,-70.679596,,0
PB285,,PB285-Av. Independencia / Esq. Juncal,-33.383123,-70.681464,,0
PB286,,PB286-Av. Independencia / Esq. Uno Sur,-33.381339,-70.682638,,0
PB232,,PB232-Av. Independencia / Esq. Uno Norte,-33.379101,-70.683460,,0
PB233,,PB233-Parada 3 / (M) Cardenal Caro,-33.374490,-70.685832,,0
PB234,,PB234-Av. Independencia / Esq. Barranquilla,-33.371492,-70.687529,,0
PB290,,PB290-Av. Independencia / Esq. Asunción,-33.369104,-70.688487,,0
PB236,,PB236-Parada 2 / (M) Los Libertadores,-33.366833,-70.689118,,0
PB237,,PB237-Calle 1 / Esq. Real Audiencia,-33.363866,-70.688877,,0
PB1491,,PB1491-San Pedro De Atacama / Esq. Lluta,-33.359805,-70.689562,,0
PB243,,PB243-San Pedro De Atacama / Esq. Isluga,-33.360030,-70.687011,,0
PB1564,,PB1564-San Pedro De Atacama / Esq. Lasaña,-33.360180,-70.685605,,0
PB1626,,PB1626-Mejillones / Esq. Pajonales,-33.359227,-70.684592,,0
PB240,,PB240-Mejillones / Esq. Los Libertadores,-33.359423,-70.682501,,0
PB1624,,PB1624-Parada 1 / Terminal Los Libertadores,-33.361702,-70.681876,,0
PB299,,PB299-Avenida Recoleta / Esq. Industrial,-33.380772,-70.639574,,0
PB300,,PB300-Avenida Recoleta / Esq. Av. A. Vespucio,-33.382470,-70.640274,,0
PB1369,,PB1369-Avenida Recoleta / Esq. Oscar Castro,-33.384565,-70.641079,,0
PB301,,PB301-Avenida Recoleta / Esq. M. Luisa Bombal,-33.386000,-70.641694,,0
PB302,,PB302-Avenida Recoleta / Esq. Alfredo Rosende,-33.388339,-70.642364,,0
PB303,,PB303-Parada 3 / (M) Zapadores,-33.391496,-70.642535,,0
PB304,,PB304-Avenida Recoleta / Esq. Urmeneta,-33.393303,-70.642672,,0
PB305,,PB305-Parada 1 / (M) Dorsal,-33.396162,-70.642802,,0
PB1728,,PB1728-Avenida Recoleta / Esq. Emiliano Zapata,-33.399017,-70.642891,,0
PB306,,PB306-Avenida Recoleta / Esq. Muñoz Gamero,-33.400652,-70.642978,,0
PB307,,PB307-Avenida Recoleta / Esq. Diag. José M. Caro,-33.403135,-70.643104,,0
PB308,,PB308-Parada 1 / (M) Einstein,-33.405408,-70.643241,,0
PB309,,PB309-Avenida Recoleta / Esq. Avenida México,-33.407993,-70.643377,,0
PB310,,PB310-Avenida Recoleta / Esq. Saliano,-33.410540,-70.643468,,0
