Comuna;TOTAL
SANTIAGO;52
SANTIAGO;1
SANTIAGO;7
SANTIAGO;40
SANTIAGO;48
SANTIAGO;9
SANTIAGO;66
SANTIAGO;30
SANTIAGO;1
SANTIAGO;9
SANTIAGO;13
SANTIAGO;1
SANTIAGO;0
SANTIAGO;1
SANTIAGO;49
SANTIAGO;45
SANTIAGO;9
SANTIAGO;47
SANTIAGO;27
SANTIAGO;146
SANTIAGO;10
SANTIAGO;32
SANTIAGO;1
SANTIAGO;153
SANTIAGO;153
SANTIAGO;112
SANTIAGO;116
SANTIAGO;179
SANTIAGO;48
SANTIAGO;163
SANTIAGO;9
SANTIAGO;46
SANTIAGO;3
SANTIAGO;595
SANTIAGO;266
SANTIAGO;9
SANTIAGO;21
SANTIAGO;2
SANTIAGO;5
SANTIAGO;257
SANTIAGO;163
SANTIAGO;26
SANTIAGO;2
SANTIAGO;12
SANTIAGO;741
SANTIAGO;26
SANTIAGO;318
SANTIAGO;3
SANTIAGO;197
SANTIAGO;3
SANTIAGO;3
SANTIAGO;197
SANTIAGO;217
SANTIAGO;16
SANTIAGO;511
SANTIAGO;563
SANTIAGO;1
SANTIAGO;48
SANTIAGO;0
SANTIAGO;9
SANTIAGO;1
SANTIAGO;457
SANTIAGO;11
SANTIAGO;213
SANTIAGO;71
SANTIAGO;3
SANTIAGO;506
SANTIAGO;111
SANTIAGO;3
SANTIAGO;20
SANTIAGO;3
SANTIAGO;17
SANTIAGO;251
SANTIAGO;1.281
SANTIAGO;19
SANTIAGO;2
SANTIAGO;1.854
SANTIAGO;461
SANTIAGO;1
SANTIAGO;2
SANTIAGO;64
SANTIAGO;0
SANTIAGO;49
SANTIAGO;117
SANTIAGO;251
SANTIAGO;152
SANTIAGO;700
SANTIAGO;81
SANTIAGO;0
SANTIAGO;268
SANTIAGO;179
SANTIAGO;18
SANTIAGO;199
SANTIAGO;58
SANTIAGO;1.048
SANTIAGO;533
SANTIAGO;88
SANTIAGO;18
SANTIAGO;558
SANTIAGO;24
SANTIAGO;1.114
SANTIAGO;11
SANTIAGO;700
SANTIAGO;594
SANTIAGO;383
SANTIAGO;1
SANTIAGO;50
SANTIAGO;1.420
SANTIAGO;171
SANTIAGO;0
SANTIAGO;815
SANTIAGO;212
SANTIAGO;13
SANTIAGO;466
SANTIAGO;864
SANTIAGO;666
SANTIAGO;12
SANTIAGO;11
SANTIAGO;0
SANTIAGO;49
SANTIAGO;34
SANTIAGO;1
SANTIAGO;3
SANTIAGO;776
SANTIAGO;628
SANTIAGO;1
SANTIAGO;249
SANTIAGO;239
SANTIAGO;0
SANTIAGO;8
SANTIAGO;85
SANTIAGO;404
SANTIAGO;0
SANTIAGO;1.224
SANTIAGO;4
SANTIAGO;261
SANTIAGO;1
SANTIAGO;0
SANTIAGO;27
SANTIAGO;118
SANTIAGO;44
SANTIAGO;0
SANTIAGO;396
SANTIAGO;1
SANTIAGO;2
SANTIAGO;156
SANTIAGO;100
SANTIAGO;78
SANTIAGO;0
SANTIAGO;4
SANTIAGO;1
SANTIAGO;7
SANTIAGO;132
SANTIAGO;198
SANTIAGO;74
SANTIAGO;14
SANTIAGO;2
SANTIAGO;10
SANTIAGO;4
SANTIAGO;58
SANTIAGO;148
SANTIAGO;0
SANTIAGO;423
SANTIAGO;61
SANTIAGO;58
SANTIAGO;80
SANTIAGO;1
SANTIAGO;44
SANTIAGO;13
SANTIAGO;0
SANTIAGO;98
SANTIAGO;118
SANTIAGO;79
SANTIAGO;18
SANTIAGO;114
SANTIAGO;141
SANTIAGO;99
SANTIAGO;11
SANTIAGO;4
SANTIAGO;10
SANTIAGO;58
SANTIAGO;13
SANTIAGO;39
SANTIAGO;19
SANTIAGO;64
SANTIAGO;7
SANTIAGO;2
SANTIAGO;0
SANTIAGO;8
SANTIAGO;282
SANTIAGO;29
SANTIAGO;50
SANTIAGO;4
SANTIAGO;227
SANTIAGO;45
